ToyAssessment,quality_level,safety_test,factory_number
,0,Pass,66513
,1,Fail,38591
,5,Fail,67197
,4,Fail,14950
,3,Fail,25906
,3,Pass,33895
,4,Pass,64103
,0,Fail,85999
,0,Fail,29256
,2,Pass,61846
,0,Pass,68218
,0,Fail,13098
,4,Pass,16636
,2,Fail,36013
,4,Pass,16077
,5,Pass,52267
,1,Fail,95938
,4,Pass,13155
,3,Fail,42944
,2,Pass,49368
,0,Pass,45379
,1,Pass,96408
,4,Fail,73629
,5,Pass,33057
,3,Pass,66114
,4,Fail,88771
,2,Pass,75831
,5,Fail,39638
,2,Fail,18825
,4,Fail,53516
,3,Pass,62111
,4,Pass,48139
,1,Fail,58120
,5,Fail,71953
