ToyInfo,price,category_number,brand
,139,1,Cody
,267,5,Bear
,193,2,Pony
,193,1,Grant
,210,4,Kel
,65,3,Knight
,474,1,Smith
,141,5,Black
,431,2,Edwards
,86,5,Ponds
,427,3,Fear
,356,3,Jackson
,157,5,T
,223,4,Kkoma
,339,2,Milytech
,225,2,Phil
,153,6,Ohio
,197,1,Tompson
,214,3,Gamma
,246,1,Alpha
,500,6,Zeta
,207,3,Auto
,393,6,Union
,329,3,Western
,253,2,Star
,437,5,Childhood
,210,1,Mimic
,65,1,Greatwall
,422,4,Confidence
,355,6,Nike
,310,2,Rstar
,229,5,Lego
,368,6,Alibaba
,357,3,Morgan
